Index,X,Y
697,996,186
698,823,169
699,435,221
700,633,226
701,715,337
702,31,682
703,251,375
704,657,265
705,785,353
706,286,733
707,983,367
708,853,419
709,728,336
710,722,295
711,872,243
712,920,391
713,653,188
714,146,683
715,144,623
716,654,293
717,220,381
718,907,241
719,36,641
720,102,742
721,766,352
722,792,365
723,26,631
724,648,284
725,62,741
726,740,313
727,139,667
728,21,638
729,84,674
730,141,605
731,135,401
732,984,393
733,714,332
734,980,364
735,722,297
736,695,325
737,817,201
738,672,158
739,900,262
740,158,651
741,33,606
742,728,391
743,268,383
744,923,235
745,734,400
746,98,321
747,416,360
748,43,661
749,129,691
750,89,578
751,77,642
752,748,141
753,322,711
754,279,727
755,162,739
756,560,746
757,748,408
758,973,430
759,128,625
760,931,377
761,288,319
762,179,746
763,42,616
764,961,70
765,48,621
766,226,393
767,741,384
768,996,82
769,142,724
770,106,723
771,245,295
772,735,403
773,202,323
774,34,717
775,750,249
776,7,553
777,74,632
778,249,706
779,774,112
780,724,285
781,174,665
782,657,149
783,319,711
784,981,367
785,45,694
786,842,365
787,821,142
788,47,520
789,374,718
790,39,655
791,43,336
792,684,300
793,717,316
794,802,391
795,720,351
796,63,340
797,64,550
798,276,309
799,733,353
800,134,631
801,251,668
802,426,742
803,52,648
804,953,417
805,780,347
806,308,725
807,996,338
808,45,532
809,649,222
810,217,686
811,20,581
812,723,328
813,662,163
814,169,379
815,263,215
816,176,701
817,760,163
818,110,593
819,187,345
820,116,589
821,254,739
822,184,681
823,769,351
824,912,252
825,185,697
826,869,174
827,72,662
828,256,739
829,728,188
830,847,157
831,808,220
832,121,627
833,996,332
834,350,439
835,920,124
836,202,745
837,575,327
838,757,368
839,922,372
840,44,672
841,102,597
842,144,734
843,83,662
844,61,743
845,823,194
846,758,398
847,34,623
848,740,173
849,288,735
850,46,684
851,90,740
852,182,659
853,732,403
854,822,178
855,246,671
856,900,381
857,118,571
858,122,650
859,19,718
860,40,640
861,96,712
862,74,660
863,598,381
864,113,570
865,951,371
866,264,729
867,806,369
868,104,661
869,192,685
870,752,148
871,743,328
872,116,706
873,74,663
874,122,623
875,8,655
876,685,136
877,20,716
878,123,670
879,926,245
880,221,383
881,666,186
882,151,724
883,942,220
884,774,400
885,114,598
886,21,650
887,725,323
888,102,735
889,103,719
890,682,133
891,264,218
892,123,618
893,24,429
894,757,141
895,932,400
896,576,262
897,734,177
898,109,674
899,8,355
900,39,583
901,660,391
902,303,336
903,281,312
904,181,653
905,866,393
906,121,653
907,684,356
908,93,674
909,822,398
910,821,373
911,732,177
912,269,381
913,948,365
914,169,375
915,753,361
916,755,132
917,34,571
918,801,130
919,83,322
920,129,661
921,23,565
922,54,633
923,782,399
924,798,173
925,784,163
926,686,138
927,116,389
928,42,348
929,164,699
930,118,622
931,866,165
932,351,402
933,820,378
934,165,690
935,743,296
936,21,732
937,812,351
938,707,320
939,74,624
940,199,383
941,988,386
942,249,674
943,767,378
944,730,353
945,56,342
946,910,228
947,203,636
948,902,381
949,740,328
950,50,622
951,21,564
952,744,369
953,173,387
954,357,384
955,926,240
956,72,627
957,141,660
958,716,163
959,171,717
960,937,746
961,650,181
962,34,426
963,680,382
964,810,208
965,609,385
966,750,313
967,779,343
968,117,383
969,785,159
970,755,347
971,802,137
972,14,657
973,29,633
974,810,350
975,187,357
976,110,731
977,173,348
978,113,601
979,845,417
980,107,597
981,888,221
982,781,136
983,159,644
984,100,592
985,197,699
986,757,225
987,234,303
988,280,372
989,800,176
990,282,727
991,865,384
992,61,330
993,174,615
994,285,735
995,150,643
996,521,216
997,724,337
998,958,745
999,498,745
