x1,y1,x2,y2,score
492,263,323,267,0.9557018
328,264,139,264,0.9463552
812,264,630,276,0.9061218
609,265,442,272,0.9654532
427,266,253,268,0.91042596
566,266,399,272,0.9892723
775,266,715,238,0.5839185
899,269,583,410,0.61427975
440,271,506,188,0.6996416
946,271,744,285,0.80070907
802,273,406,305,0.6959931
414,275,238,278,0.9628674
568,275,401,281,0.99178463
972,275,765,289,0.85485345
516,278,348,283,0.9924854
587,278,420,285,0.9657144
763,278,588,288,0.9310167
764,278,588,288,0.9520752
927,278,91,400,0.53543204
416,279,241,282,0.8931259
452,279,280,283,0.97732896
645,280,477,288,0.97264594
427,281,253,284,0.8845419
222,282,12,281,0.930049
810,282,629,293,0.92492306
878,283,687,295,0.9185116
219,284,12,281,0.8340628
247,284,821,194,0.48875257
659,284,491,292,0.9895851
741,285,567,294,0.9019782
653,286,485,294,0.98789513
353,287,169,289,0.92284006
490,287,321,292,0.97274834
286,288,90,289,0.8559851
340,288,154,290,0.91922235
618,288,856,95,0.6439099
913,290,717,302,0.80510116
722,291,550,300,0.9819709
864,293,675,304,0.7794107
432,294,258,298,0.96773326
557,294,390,300,0.9819163
377,295,196,298,0.9586871
499,295,330,300,0.94381696
377,296,196,298,0.8505065
334,297,417,352,0.5432723
729,297,628,354,0.71706766
748,298,574,307,0.9675862
829,298,645,308,0.8499178
220,299,173,212,0.77396834
620,299,453,306,0.9931512
634,299,467,306,0.9948198
483,300,630,276,0.5545102
533,300,366,306,0.9852624
661,300,492,308,0.8873074
660,301,492,308,0.9309056
390,302,212,306,0.8781038
391,302,212,306,0.82940304
435,302,262,306,0.85744476
930,302,679,208,0.5295947
893,303,700,314,0.8957211
679,304,510,312,0.97152144
853,304,666,314,0.9807601
336,305,149,308,0.9262015
574,305,684,300,0.7431356
267,306,67,308,0.84436035
428,306,435,216,0.72320116
312,307,819,101,0.54482317
432,308,303,354,0.5313886
470,309,300,314,0.96279854
693,309,642,181,0.6034961
770,309,594,319,0.733164
988,309,707,258,0.72436774
305,310,881,180,0.6415617
546,310,379,316,0.98919517
551,310,384,316,0.97112095
328,311,142,314,0.74432534
410,311,234,316,0.9083629
572,311,406,318,0.94475454
198,312,215,233,0.65636915
525,312,357,318,0.9531072
572,312,406,318,0.9383719
618,312,451,319,0.9731205
369,313,187,317,0.9482448
520,314,352,320,0.95815134
970,315,787,310,0.6076154
980,316,772,326,0.6859547
533,318,365,324,0.92059577
482,319,313,325,0.89773065
483,319,313,325,0.9500074
517,320,349,326,0.97884053
537,320,370,326,0.99794734
770,320,594,328,0.97061473
476,321,349,336,0.6875219
432,322,258,328,0.8794037
578,322,412,328,0.9372697
599,322,433,329,0.92612606
493,325,324,330,0.8207197
516,325,348,331,0.9822098
321,326,131,330,0.9048475
342,326,156,331,0.9098678
582,327,690,345,0.604681
837,327,442,263,0.7315446
464,328,293,334,0.9342554
712,328,541,335,0.9744364
825,328,641,336,0.8534803
517,330,349,336,0.9887063
288,331,92,336,0.89546686
789,331,611,338,0.9237274
675,332,343,362,0.82051367
463,333,292,339,0.96131766
858,333,416,268,0.7839984
253,334,50,339,0.8621025
345,334,160,339,0.85257924
462,334,291,340,0.9701468
611,334,445,341,0.95174426
490,335,321,341,0.9903496
588,335,422,341,0.9314269
505,336,337,342,0.9782183
991,336,991,405,0.71253425
515,337,347,343,0.9744395
692,337,523,344,0.9529593
347,339,162,345,0.90224034
386,339,608,271,0.7996013
598,339,432,345,0.93189055
402,340,225,346,0.96774274
314,341,125,346,0.6425951
576,342,207,376,0.7371357
586,342,392,347,0.64370394
708,343,537,349,0.9126469
225,344,15,350,0.8811005
248,344,44,350,0.88996124
493,344,898,224,0.7430363
542,344,376,350,0.9220967
318,346,128,352,0.8936652
475,347,303,354,0.58451754
594,347,428,353,0.94117886
595,347,428,353,0.77958226
459,348,288,354,0.96114784
328,349,140,355,0.8841523
848,349,662,356,0.8981665
399,350,329,175,0.6094278
596,352,430,358,0.95169574
127,353,51,257,0.6819373
855,353,668,359,0.91949666
386,354,207,361,0.89859426
259,357,57,364,0.84279156
512,357,343,362,0.8765199
818,357,637,363,0.80356777
819,357,637,363,0.8692449
989,357,442,263,0.6584632
762,358,587,364,0.94328743
751,359,577,365,0.9566503
912,359,666,314,0.6594936
313,360,122,367,0.8313495
322,360,133,367,0.8923303
330,360,142,367,0.86954504
468,360,297,367,0.92405045
676,360,221,209,0.5686771
717,360,546,366,0.9823951
805,360,786,415,0.58042765
201,362,142,367,0.68024963
306,362,113,370,0.92361933
511,362,343,368,0.962085
755,362,239,335,0.5419315
354,363,170,370,0.86891854
606,363,87,272,0.6443427
976,363,769,368,0.9765246
327,365,231,291,0.6837649
369,365,188,373,0.81840646
752,365,577,371,0.84304804
335,366,118,375,0.6207309
662,366,745,346,0.61947376
70,367,913,71,0.89745045
596,367,430,373,0.97249097
939,367,29,402,0.74848354
386,368,207,376,0.9357894
743,368,570,374,0.9361054
882,368,691,373,0.95795673
24,369,49,268,0.71930426
467,369,297,376,0.967507
67,372,49,268,0.73676336
314,372,123,380,0.80556554
324,372,135,380,0.86094016
90,373,875,224,0.6580222
527,374,454,266,0.54893416
581,374,415,381,0.9315811
331,377,143,386,0.87127334
669,378,501,384,0.9940569
286,379,91,388,0.76230955
340,380,154,389,0.8949466
787,380,609,385,0.94424564
444,382,752,287,0.5579377
268,383,68,393,0.92238265
428,383,671,172,0.6414309
851,383,665,387,0.9070827
299,384,973,393,0.58941066
345,384,160,393,0.8790534
486,384,771,117,0.6906685
336,385,150,394,0.8276137
337,385,150,394,0.74247766
366,385,184,394,0.895138
226,386,16,397,0.9280376
604,386,438,392,0.9830664
573,387,666,314,0.80230904
727,387,555,392,0.9573051
909,387,766,152,0.63535464
455,388,284,396,0.97159976
847,388,743,369,0.6904243
340,389,154,399,0.875524
796,389,617,393,0.9178997
372,390,191,399,0.918798
282,394,85,406,0.6894312
304,394,111,405,0.8989316
361,395,178,405,0.86250246
462,395,291,403,0.9533193
290,396,95,407,0.83335674
380,396,485,294,0.61229086
233,398,402,407,0.6622443
379,398,199,408,0.86823225
688,398,815,116,0.62939966
698,398,529,403,0.86783254
355,399,171,410,0.7573509
492,399,185,208,0.7439289
260,400,400,359,0.71861696
