Index,X,Y
784,37,685
785,286,532
786,3,565
787,107,609
788,279,715
789,307,366
790,147,702
791,326,733
792,127,558
793,298,559
794,139,629
795,266,389
796,193,618
797,143,661
798,848,152
799,383,275
800,201,697
801,100,407
802,175,709
803,253,523
804,860,138
805,555,357
806,816,141
807,36,488
808,261,722
809,43,667
810,855,165
811,30,431
812,210,541
813,987,114
814,373,647
815,159,463
816,231,526
817,82,618
818,252,578
819,23,657
820,155,701
821,210,623
822,250,596
823,935,300
824,56,577
825,132,597
826,16,740
827,263,689
828,416,293
829,61,411
830,140,515
831,129,671
832,352,741
833,950,295
834,45,639
835,169,563
836,996,391
837,291,622
838,28,678
839,47,582
840,964,110
841,15,422
842,80,720
843,210,580
844,990,336
845,46,677
846,46,567
847,393,686
848,142,611
849,27,444
850,71,551
851,171,500
852,25,594
853,964,348
854,73,658
855,45,435
856,328,700
857,244,605
858,220,705
859,367,337
860,541,708
861,128,607
862,35,558
863,51,548
864,198,582
865,55,703
866,124,611
867,68,717
868,160,507
869,19,696
870,9,438
871,447,376
872,307,618
873,134,609
874,931,274
875,38,562
876,23,702
877,230,691
878,82,549
879,17,506
880,104,572
881,46,390
882,420,265
883,100,511
884,35,649
885,941,118
886,963,357
887,494,727
888,126,610
889,265,612
890,389,693
891,94,679
892,307,384
893,379,277
894,803,176
895,965,355
896,203,663
897,18,422
898,15,700
899,280,713
900,174,539
901,37,681
902,47,460
903,209,697
904,324,735
905,951,145
906,30,651
907,272,388
908,954,145
909,428,257
910,323,386
911,201,520
912,531,313
913,95,707
914,842,252
915,151,492
916,199,526
917,146,616
918,320,709
919,256,406
920,915,315
921,24,519
922,90,538
923,253,695
924,262,411
925,250,556
926,63,608
927,31,648
928,186,617
929,878,118
930,33,693
931,3,575
932,23,596
933,80,723
934,947,329
935,42,437
936,922,271
937,26,442
938,127,598
939,934,327
940,878,312
941,57,741
942,60,567
943,575,364
944,110,708
945,183,404
946,140,704
947,105,536
948,225,610
949,874,349
950,55,742
951,321,700
952,136,478
953,958,118
954,426,364
955,375,712
956,851,287
957,906,298
958,960,353
959,68,491
960,257,665
961,926,388
962,243,591
963,187,608
964,173,637
965,749,319
966,919,282
967,281,315
968,125,607
969,25,646
970,95,465
971,65,557
972,259,605
973,116,660
974,172,417
975,327,686
976,951,350
977,306,666
978,148,739
979,58,637
980,329,641
981,222,526
982,77,691
983,750,250
984,219,720
985,929,346
986,126,586
987,265,584
988,257,734
989,412,318
990,256,509
991,3,735
992,204,506
993,910,104
994,951,131
995,102,520
996,241,605
997,87,374
998,876,333
999,10,670
